age,monthly_income,monthly_expenses,existing_savings,employment_status,num_dependents,location_type,digital_savviness,has_bank_account,has_ewallet,savings_goal,risk_tolerance,investment_horizon,recommended_product
29,24514.08,17667.37,63080.39,Employed,1,Metro Manila,3,1,1,Business Capital,Conservative,Long-term,bpi_time_deposit
34,1109.49,921.54,0.0,Self-employed,2,Rural,4,0,1,General Savings,Conservative,Medium-term,gcash_gsave
52,71866.93,59852.42,64152.47,Self-employed,2,Urban,3,1,1,General Savings,Moderate,Long-term,bpi_time_deposit
36,1419.31,1075.56,5831.66,Unemployed,2,Metro Manila,4,0,1,Emergency Fund,Conservative,Medium-term,gcash_gsave
36,32400.84,26488.41,73716.72,Self-employed,4,Rural,3,0,0,Emergency Fund,Moderate,Short-term,maya_savings
44,24758.41,19304.85,22511.93,Employed,3,Rural,1,0,0,Home/Property,Conservative,Medium-term,gcash_gsave
41,131157.48,128534.33,0.0,Employed,4,Metro Manila,3,1,0,Travel,Conservative,Short-term,bpi_savings
27,45270.91,39547.95,89884.88,Employed,2,Urban,4,0,0,Travel,Moderate,Short-term,maya_personal_goals
45,23798.0,22258.57,16782.65,Self-employed,4,Urban,3,0,0,Emergency Fund,Conservative,Medium-term,gcash_gsave
30,19358.94,14902.58,27636.84,Employed,0,Urban,5,0,0,Retirement,Conservative,Long-term,bpi_time_deposit
24,27823.55,21498.68,317.99,Employed,0,Rural,4,0,0,General Savings,Moderate,Short-term,gcash_gsave
25,5872.32,3874.12,150.62,Self-employed,0,Rural,3,1,0,Home/Property,Moderate,Long-term,gcash_gsave
49,23548.22,21303.27,2591.42,Freelancer,2,Rural,1,0,0,Travel,Moderate,Short-term,gcash_gsave
27,25754.92,22782.02,7308.84,Employed,3,Urban,5,1,1,Home/Property,Moderate,Short-term,maya_personal_goals
51,22110.51,18901.58,7359.8,Employed,1,Rural,4,0,0,General Savings,Aggressive,Short-term,gcash_gsave
38,5692.21,5529.31,0.0,Unemployed,4,Urban,4,0,1,General Savings,Moderate,Short-term,maya_savings
30,20614.07,15509.02,18590.88,Employed,1,Rural,3,1,0,Travel,Moderate,Medium-term,bpi_save_up
31,19736.91,15678.19,31468.43,Freelancer,1,Rural,5,0,1,Education,Conservative,Long-term,maya_personal_goals
35,38322.53,32254.17,50593.71,Employed,4,Urban,3,0,1,Retirement,Conservative,Long-term,bpi_time_deposit
41,36745.49,30319.91,962.56,Freelancer,2,Urban,3,0,0,Retirement,Moderate,Long-term,gcash_ginvest
52,4978.29,4201.47,11936.79,Unemployed,3,Urban,3,0,0,Emergency Fund,Moderate,Medium-term,bpi_save_up
23,13588.73,9310.0,34321.99,Self-employed,0,Metro Manila,2,1,0,Travel,Conservative,Short-term,bpi_savings
28,2257.21,1773.69,0.0,Unemployed,3,Rural,4,0,1,Travel,Conservative,Short-term,gcash_gsave
39,2422.45,1905.11,0.0,Unemployed,3,Urban,3,0,0,General Savings,Conservative,Medium-term,maya_savings
26,14014.45,12099.63,0.0,Self-employed,2,Urban,4,1,1,Emergency Fund,Conservative,Medium-term,gcash_gsave
48,32543.68,21520.18,84330.2,Employed,0,Urban,3,0,1,Emergency Fund,Moderate,Medium-term,maya_time_deposit
25,17663.18,15560.71,3414.07,Employed,1,Rural,4,1,1,General Savings,Conservative,Long-term,gcash_gsave
30,28598.08,22073.87,5703.19,Freelancer,3,Metro Manila,2,1,0,Emergency Fund,Aggressive,Short-term,bpi_savings
39,40739.16,31664.09,29422.05,Self-employed,4,Rural,3,1,0,Business Capital,Moderate,Medium-term,maya_time_deposit
36,18997.85,13847.11,33446.01,Employed,0,Rural,3,1,0,Travel,Conservative,Long-term,bpi_save_up
62,24827.24,20747.86,7070.19,Employed,1,Rural,1,0,0,Emergency Fund,Conservative,Medium-term,gcash_gsave
30,26284.31,17385.84,40142.06,Self-employed,1,Urban,4,0,0,Emergency Fund,Aggressive,Short-term,maya_savings
20,10688.74,9146.45,0.0,Freelancer,0,Urban,3,1,0,Travel,Aggressive,Short-term,maya_savings
40,37092.72,29317.2,21348.39,Employed,3,Urban,2,1,0,Emergency Fund,Aggressive,Medium-term,maya_time_deposit
39,52197.76,35968.7,35608.31,Freelancer,1,Urban,4,1,0,Business Capital,Moderate,Short-term,maya_time_deposit
34,27574.93,23315.28,11121.66,Self-employed,1,Urban,1,0,1,General Savings,Conservative,Long-term,bpi_time_deposit
37,27299.0,19878.89,32032.74,Employed,3,Rural,5,1,1,Travel,Moderate,Short-term,maya_personal_goals
33,19327.36,15646.44,0.0,Employed,1,Urban,4,1,0,Business Capital,Aggressive,Short-term,gcash_gsave
46,70252.47,54479.2,9094.9,Employed,3,Rural,2,1,0,Education,Conservative,Medium-term,bpi_save_up
43,32902.02,32243.98,0.0,Employed,5,Metro Manila,3,0,1,Business Capital,Moderate,Medium-term,bpi_save_up
37,6674.38,5525.56,0.0,Self-employed,1,Rural,5,1,1,General Savings,Moderate,Medium-term,gcash_gsave
32,30129.03,22632.67,19673.89,Self-employed,2,Rural,4,1,1,Home/Property,Conservative,Medium-term,maya_personal_goals
56,21244.69,16101.65,21.72,Employed,0,Rural,3,1,0,Retirement,Conservative,Long-term,bpi_time_deposit
37,20947.87,19100.56,0.0,Employed,2,Rural,4,0,1,Home/Property,Moderate,Medium-term,maya_personal_goals
29,14273.67,9452.14,0.0,Employed,0,Rural,4,0,1,Business Capital,Conservative,Long-term,gcash_gsave
29,10057.33,7547.99,28239.93,Unemployed,0,Rural,2,0,0,Emergency Fund,Moderate,Medium-term,maya_personal_goals
33,32834.54,29727.53,30544.91,Employed,1,Urban,3,0,0,Education,Moderate,Long-term,maya_personal_goals
40,9412.02,7191.61,9066.11,Student,2,Urban,4,1,1,Travel,Moderate,Short-term,gcash_gsave
41,40130.56,33197.17,25803.52,Freelancer,4,Metro Manila,5,1,1,Home/Property,Conservative,Medium-term,maya_personal_goals
26,40059.78,30093.34,186831.54,Employed,2,Metro Manila,4,0,1,Emergency Fund,Aggressive,Short-term,gcash_ginvest
33,50918.04,49776.16,3833.5,Freelancer,4,Urban,4,1,0,General Savings,Conservative,Short-term,bpi_savings
28,30874.2,22960.61,88576.01,Employed,2,Metro Manila,5,1,1,Business Capital,Aggressive,Medium-term,gcash_ginvest
28,8727.65,5988.24,33487.6,Self-employed,1,Urban,3,0,1,Emergency Fund,Moderate,Medium-term,maya_time_deposit
24,29711.63,22576.74,126450.11,Employed,0,Urban,4,1,1,Business Capital,Aggressive,Short-term,gcash_ginvest
61,7498.98,6002.92,12219.45,Unemployed,1,Metro Manila,2,0,1,Retirement,Conservative,Long-term,bpi_time_deposit
49,27706.19,21573.47,0.0,Employed,2,Rural,1,0,0,Education,Conservative,Long-term,maya_savings
27,37138.58,28077.39,4013.28,Freelancer,2,Metro Manila,4,1,1,Emergency Fund,Conservative,Short-term,maya_savings
34,15577.41,13611.5,10965.51,Employed,2,Rural,2,1,0,Travel,Conservative,Short-term,bpi_savings
21,3890.04,2672.95,13384.18,Student,0,Urban,3,0,1,Business Capital,Moderate,Medium-term,maya_personal_goals
22,2457.71,1656.12,0.0,Student,0,Rural,4,0,0,Emergency Fund,Conservative,Short-term,maya_savings
25,10906.06,7271.82,10963.79,Self-employed,0,Rural,5,1,0,Travel,Moderate,Short-term,bpi_save_up
40,49310.92,38915.23,74029.79,Self-employed,1,Rural,4,1,1,Education,Conservative,Short-term,gcash_gsave
32,6139.72,4719.67,8415.06,Self-employed,0,Rural,5,1,1,Emergency Fund,Conservative,Medium-term,gcash_gsave
23,79767.34,54613.99,140250.63,Employed,1,Metro Manila,5,1,1,Business Capital,Conservative,Medium-term,gcash_ginvest
26,4539.51,3238.97,4507.79,Unemployed,0,Rural,2,0,0,General Savings,Aggressive,Short-term,gcash_gsave
18,5395.32,4727.22,1666.42,Employed,1,Rural,3,0,0,General Savings,Moderate,Long-term,gcash_gsave
55,2256.73,1872.96,3564.78,Unemployed,1,Rural,1,0,0,Home/Property,Conservative,Long-term,maya_savings
21,2412.85,2114.87,0.0,Student,0,Rural,3,0,1,Emergency Fund,Moderate,Short-term,gcash_gsave
23,19482.17,12477.18,8677.11,Freelancer,1,Urban,3,0,1,Emergency Fund,Conservative,Short-term,gcash_gsave
31,8254.81,7316.72,2628.31,Self-employed,2,Rural,4,0,1,Retirement,Moderate,Long-term,gcash_ginvest
26,27943.89,22011.14,63410.39,Employed,1,Urban,5,0,0,Business Capital,Conservative,Long-term,bpi_time_deposit
47,4193.35,3867.58,1108.91,Unemployed,4,Urban,2,1,0,Home/Property,Conservative,Medium-term,bpi_savings
33,24204.51,16410.1,32792.09,Employed,0,Metro Manila,4,1,0,Retirement,Aggressive,Long-term,gcash_ginvest
52,12504.72,7473.6,10305.67,Self-employed,0,Rural,1,0,1,Retirement,Conservative,Long-term,bpi_time_deposit
26,43536.01,37419.98,69702.98,Employed,2,Urban,4,0,1,Business Capital,Moderate,Medium-term,gcash_ginvest
44,15306.22,11793.12,15767.26,Employed,3,Urban,2,1,0,Education,Moderate,Medium-term,bpi_save_up
25,33813.76,24199.53,51441.95,Self-employed,1,Urban,5,0,1,Education,Aggressive,Medium-term,gcash_ginvest
33,24204.93,19372.83,4578.99,Freelancer,0,Rural,5,0,0,Retirement,Aggressive,Long-term,gcash_ginvest
36,18407.05,15660.81,35522.67,Self-employed,4,Rural,2,0,0,Business Capital,Conservative,Medium-term,maya_time_deposit
28,28229.64,23634.55,80163.65,Employed,1,Urban,5,1,0,General Savings,Aggressive,Long-term,bpi_time_deposit
29,62620.68,41901.77,163161.25,Employed,0,Metro Manila,4,1,1,Travel,Moderate,Short-term,maya_time_deposit
53,18453.24,15351.37,15233.87,Employed,2,Rural,2,0,0,Retirement,Aggressive,Medium-term,gcash_ginvest
25,10828.74,8401.69,303.41,Self-employed,3,Rural,4,0,0,Emergency Fund,Conservative,Long-term,gcash_gsave
30,1513.68,1104.78,2235.39,Unemployed,0,Rural,4,0,0,Education,Conservative,Short-term,gcash_gsave
46,11735.93,10411.28,17356.3,Unemployed,4,Urban,3,0,1,Business Capital,Conservative,Long-term,bpi_time_deposit
44,46511.75,35973.19,63549.21,Employed,3,Rural,1,1,1,Business Capital,Conservative,Long-term,bpi_time_deposit
23,1915.79,1542.04,1049.18,Student,0,Urban,4,1,0,Education,Aggressive,Long-term,gcash_ginvest
45,63674.15,44568.45,215827.02,Employed,3,Urban,3,1,1,Education,Conservative,Long-term,bpi_time_deposit
39,46747.08,39148.72,19333.36,Freelancer,5,Urban,4,1,0,Business Capital,Conservative,Long-term,bpi_time_deposit
23,41859.07,25646.3,196106.72,Employed,0,Urban,5,0,1,Retirement,Moderate,Long-term,gcash_ginvest
32,21605.24,17529.21,12194.42,Self-employed,0,Rural,1,0,0,Emergency Fund,Conservative,Short-term,gcash_gsave
25,26898.11,23053.52,0.0,Employed,3,Urban,5,1,1,Education,Conservative,Short-term,maya_savings
42,63380.65,49389.67,110118.71,Employed,3,Urban,5,1,0,Home/Property,Moderate,Medium-term,bpi_save_up
25,39002.97,33894.21,58130.07,Employed,1,Urban,2,0,1,Business Capital,Aggressive,Long-term,gcash_ginvest
21,103779.52,86269.32,79254.04,Self-employed,0,Metro Manila,4,1,1,Retirement,Moderate,Long-term,bpi_time_deposit
39,39366.37,34118.61,14330.51,Employed,3,Rural,4,1,1,Education,Moderate,Medium-term,maya_personal_goals
28,29694.45,25531.83,40297.6,Employed,2,Urban,4,1,1,Education,Moderate,Medium-term,maya_personal_goals
24,10702.3,9017.16,18296.8,Employed,2,Urban,4,1,0,Emergency Fund,Conservative,Short-term,maya_savings
56,12702.79,10677.44,41958.93,Freelancer,1,Rural,2,0,1,General Savings,Moderate,Short-term,maya_savings
38,11888.61,9965.75,9063.65,Employed,2,Rural,4,0,0,Emergency Fund,Aggressive,Medium-term,gcash_gsave
40,18452.16,16500.2,15841.68,Self-employed,3,Rural,2,1,0,Emergency Fund,Moderate,Medium-term,bpi_save_up
26,43694.39,39377.98,48113.18,Employed,1,Urban,4,1,1,Home/Property,Moderate,Medium-term,maya_personal_goals
30,2243.4,1975.21,6061.26,Unemployed,2,Rural,4,0,0,Emergency Fund,Moderate,Short-term,gcash_gsave
24,3566.68,2692.42,619.15,Unemployed,0,Rural,5,0,1,Emergency Fund,Aggressive,Short-term,gcash_gsave
36,28856.78,24307.34,17680.36,Employed,1,Rural,4,1,1,Travel,Moderate,Short-term,gcash_gsave
25,12443.47,10353.25,1789.95,Self-employed,1,Rural,2,0,1,General Savings,Moderate,Short-term,gcash_gsave
19,20112.14,16333.66,6990.68,Employed,0,Urban,4,1,1,Education,Conservative,Medium-term,maya_personal_goals
23,2297.76,2091.44,6170.14,Unemployed,1,Rural,4,0,1,Business Capital,Conservative,Short-term,gcash_gsave
33,26677.19,19473.52,34523.09,Self-employed,1,Urban,4,0,0,Travel,Moderate,Short-term,maya_personal_goals
28,29651.96,20176.85,25320.6,Employed,0,Urban,4,0,1,Business Capital,Moderate,Medium-term,maya_personal_goals
22,2620.98,2244.76,3477.25,Student,0,Urban,4,0,1,Education,Conservative,Medium-term,gcash_gsave
24,19730.88,13353.5,5787.4,Employed,1,Metro Manila,5,0,1,Travel,Moderate,Short-term,gcash_gsave
40,104234.92,90105.23,34529.89,Self-employed,2,Rural,1,0,0,Business Capital,Moderate,Medium-term,maya_time_deposit
23,27292.5,22384.27,108760.08,Self-employed,0,Rural,5,1,1,Home/Property,Moderate,Medium-term,maya_personal_goals
22,1842.55,1157.6,15604.23,Student,0,Urban,5,1,1,Emergency Fund,Conservative,Medium-term,gcash_gsave
18,803.8,569.26,10473.84,Student,0,Rural,5,0,1,Travel,Moderate,Long-term,gcash_gsave
29,28567.86,25083.27,45190.83,Employed,2,Urban,5,0,1,Emergency Fund,Conservative,Short-term,maya_savings
21,33502.27,28206.97,40915.42,Freelancer,0,Metro Manila,4,0,1,Education,Aggressive,Long-term,gcash_ginvest
34,14457.64,12552.29,13267.04,Employed,2,Rural,3,1,0,General Savings,Aggressive,Medium-term,bpi_save_up
34,6250.02,4641.58,11448.3,Student,1,Rural,3,0,1,Travel,Conservative,Medium-term,gcash_gsave
52,39665.65,34773.07,6203.0,Employed,0,Urban,2,0,1,Retirement,Conservative,Long-term,bpi_time_deposit
25,14720.15,12944.14,7174.34,Self-employed,2,Rural,3,1,1,Emergency Fund,Moderate,Short-term,gcash_gsave
20,5618.87,4084.01,15705.26,Student,0,Urban,5,0,1,Education,Moderate,Short-term,maya_personal_goals
23,14754.87,12298.05,3280.75,Employed,1,Urban,2,1,1,Emergency Fund,Moderate,Short-term,gcash_gsave
30,19799.53,15537.32,70810.1,Self-employed,2,Urban,3,1,0,Emergency Fund,Moderate,Medium-term,bpi_save_up
29,38446.58,36380.19,0.0,Employed,2,Urban,4,1,1,Emergency Fund,Conservative,Long-term,maya_savings
22,2584.11,2065.71,6552.74,Student,0,Rural,5,0,1,Travel,Moderate,Short-term,gcash_gsave
19,6817.34,4679.68,10118.97,Student,0,Rural,4,0,1,Education,Moderate,Medium-term,maya_personal_goals
25,38904.06,28287.04,76132.9,Employed,2,Urban,2,0,0,Emergency Fund,Aggressive,Short-term,gcash_ginvest
38,33380.27,27313.86,2991.16,Employed,2,Rural,3,0,0,Business Capital,Aggressive,Long-term,gcash_ginvest
29,15938.01,12587.12,0.0,Self-employed,2,Rural,2,1,0,General Savings,Aggressive,Long-term,gcash_ginvest
27,44642.26,37754.64,147583.83,Self-employed,3,Urban,5,0,1,Travel,Moderate,Medium-term,maya_personal_goals
43,30424.44,26169.74,62666.61,Employed,1,Urban,5,1,1,Education,Moderate,Long-term,gcash_ginvest
22,3023.06,2609.33,1067.69,Student,2,Rural,1,0,0,Education,Aggressive,Medium-term,bpi_save_up
21,8300.97,6868.48,2990.84,Employed,0,Rural,4,0,1,General Savings,Moderate,Short-term,gcash_gsave
25,31529.21,23431.09,31932.5,Employed,1,Rural,5,1,1,Emergency Fund,Moderate,Long-term,gcash_ginvest
30,29659.31,26248.67,46878.12,Self-employed,1,Urban,3,1,0,Home/Property,Conservative,Medium-term,bpi_save_up
43,14286.36,12395.78,4613.77,Unemployed,3,Rural,3,0,1,Home/Property,Moderate,Medium-term,maya_personal_goals
44,29082.17,26294.65,27096.54,Unemployed,1,Urban,2,0,1,General Savings,Moderate,Medium-term,bpi_save_up
33,40279.62,26634.64,191074.04,Employed,3,Urban,2,1,0,Education,Moderate,Medium-term,bpi_save_up
36,36994.27,30364.67,27937.58,Employed,4,Urban,5,0,0,Education,Moderate,Short-term,maya_personal_goals
22,2398.97,2085.44,0.0,Student,0,Urban,4,0,0,Emergency Fund,Conservative,Medium-term,gcash_gsave
25,43231.13,31836.21,52634.92,Employed,1,Urban,5,0,1,Business Capital,Aggressive,Short-term,gcash_ginvest
29,24958.47,18088.42,81648.52,Freelancer,3,Urban,4,0,1,Emergency Fund,Moderate,Medium-term,maya_personal_goals
38,58352.57,51784.99,39473.06,Self-employed,4,Metro Manila,3,1,1,General Savings,Conservative,Medium-term,bpi_save_up
53,12568.99,10876.78,26269.73,Unemployed,1,Rural,2,0,0,Business Capital,Conservative,Long-term,bpi_time_deposit
39,23673.08,19311.49,54285.81,Employed,3,Urban,5,0,0,Business Capital,Conservative,Medium-term,maya_time_deposit
44,28661.66,20296.76,31931.38,Employed,3,Metro Manila,1,1,1,Retirement,Conservative,Long-term,bpi_time_deposit
42,24817.55,20095.76,20550.04,Freelancer,3,Urban,2,1,0,General Savings,Moderate,Short-term,bpi_save_up
41,71144.98,46088.71,179306.53,Self-employed,2,Metro Manila,3,1,0,Home/Property,Aggressive,Long-term,bpi_time_deposit
44,4559.39,2930.45,9519.86,Unemployed,2,Rural,2,1,0,Business Capital,Conservative,Medium-term,bpi_savings
37,29074.69,21658.65,27421.35,Employed,0,Metro Manila,3,1,1,Emergency Fund,Aggressive,Short-term,maya_savings
22,3831.89,3186.71,0.0,Student,0,Rural,5,0,1,General Savings,Aggressive,Short-term,gcash_gsave
32,19196.76,16465.41,19695.04,Employed,2,Metro Manila,3,1,1,Home/Property,Aggressive,Medium-term,bpi_save_up
53,25324.88,23559.12,31141.48,Employed,4,Urban,4,1,0,Retirement,Moderate,Medium-term,bpi_save_up
46,21306.51,17516.22,3274.46,Self-employed,5,Rural,2,1,0,Home/Property,Conservative,Medium-term,maya_personal_goals
24,7840.35,6295.38,7007.32,Self-employed,0,Rural,4,0,1,Emergency Fund,Conservative,Medium-term,gcash_gsave
34,54613.32,46479.97,46895.67,Employed,2,Metro Manila,4,1,0,Emergency Fund,Moderate,Short-term,bpi_savings
34,21636.53,14280.63,65595.85,Employed,0,Rural,4,0,0,Travel,Moderate,Short-term,maya_personal_goals
27,83283.08,66761.08,108546.91,Self-employed,2,Urban,5,1,1,Education,Conservative,Medium-term,bpi_time_deposit
46,19429.7,11424.95,18160.67,Self-employed,0,Rural,3,0,1,Education,Moderate,Short-term,maya_personal_goals
19,2469.41,1904.91,5540.0,Student,0,Rural,5,0,0,Business Capital,Moderate,Medium-term,gcash_gsave
21,4807.96,2839.4,350.1,Student,0,Rural,1,1,0,Emergency Fund,Moderate,Short-term,gcash_gsave
24,12541.69,8995.46,53667.31,Employed,0,Rural,4,0,0,Emergency Fund,Moderate,Short-term,gcash_gsave
41,14175.16,12096.59,10788.82,Unemployed,0,Urban,3,0,0,Education,Moderate,Medium-term,maya_personal_goals
32,3468.05,3149.86,11208.02,Unemployed,3,Rural,2,0,0,Travel,Moderate,Medium-term,maya_personal_goals
25,8480.7,7625.56,13204.98,Employed,1,Urban,4,1,0,General Savings,Conservative,Short-term,bpi_savings
34,56755.17,44831.09,54932.38,Freelancer,0,Metro Manila,4,1,0,Emergency Fund,Aggressive,Long-term,gcash_ginvest
21,38668.93,31497.47,73828.04,Employed,0,Metro Manila,4,1,1,Home/Property,Moderate,Long-term,maya_time_deposit
40,73213.41,48336.08,237065.43,Employed,2,Metro Manila,2,1,0,Retirement,Aggressive,Long-term,bpi_time_deposit
33,7211.7,5647.87,476.6,Employed,0,Rural,3,0,0,General Savings,Conservative,Medium-term,gcash_gsave
25,19740.87,16401.36,5524.15,Employed,2,Urban,5,1,1,Home/Property,Moderate,Long-term,maya_personal_goals
37,20089.23,14031.34,9155.79,Freelancer,2,Urban,3,1,0,General Savings,Conservative,Long-term,bpi_save_up
39,22222.25,18300.11,35666.13,Self-employed,4,Metro Manila,4,0,1,Business Capital,Aggressive,Medium-term,bpi_save_up
27,13295.96,9824.25,33428.89,Unemployed,0,Urban,5,1,1,Business Capital,Aggressive,Long-term,maya_savings
41,19362.8,16388.3,0.0,Freelancer,2,Rural,4,0,1,Business Capital,Moderate,Long-term,gcash_ginvest
38,35102.41,26611.08,13021.84,Employed,3,Urban,5,1,1,Home/Property,Conservative,Medium-term,maya_personal_goals
30,24282.75,22430.1,13396.38,Self-employed,2,Rural,1,1,0,Home/Property,Aggressive,Medium-term,bpi_save_up
22,2483.57,2107.13,1709.38,Unemployed,0,Rural,4,0,0,Emergency Fund,Aggressive,Short-term,gcash_gsave
24,1419.69,1179.41,0.0,Freelancer,2,Rural,3,1,0,Emergency Fund,Moderate,Short-term,maya_savings
23,10449.49,8542.35,44504.91,Freelancer,0,Urban,4,0,1,Travel,Conservative,Short-term,maya_savings
28,726.66,580.0,2667.79,Unemployed,1,Rural,4,0,1,Home/Property,Conservative,Medium-term,maya_savings
51,47031.2,39367.8,5262.05,Employed,3,Urban,3,1,0,Education,Conservative,Medium-term,bpi_save_up
33,12612.83,10712.75,3973.15,Freelancer,0,Rural,3,0,0,Education,Moderate,Medium-term,maya_personal_goals
32,5542.48,4628.7,829.1,Student,0,Urban,5,0,1,Travel,Moderate,Short-term,maya_savings
22,437.99,345.98,5429.23,Unemployed,0,Urban,4,0,1,Emergency Fund,Moderate,Medium-term,gcash_gsave
26,29976.75,26553.4,34545.65,Employed,2,Metro Manila,5,1,1,Travel,Conservative,Medium-term,maya_personal_goals
35,46820.25,44701.57,4561.22,Self-employed,2,Rural,5,0,0,Travel,Conservative,Short-term,gcash_gsave
28,64907.77,54837.71,41621.65,Self-employed,0,Urban,5,0,1,Business Capital,Conservative,Medium-term,maya_time_deposit
28,39394.17,32446.71,27706.83,Employed,1,Urban,4,1,1,Retirement,Conservative,Long-term,gcash_ginvest
23,6651.56,3862.39,4907.68,Self-employed,0,Urban,3,0,1,Emergency Fund,Conservative,Short-term,gcash_gsave
31,35194.67,31185.88,5920.31,Employed,1,Rural,3,1,0,Emergency Fund,Moderate,Long-term,bpi_save_up
26,26928.76,18900.46,73912.73,Employed,1,Rural,4,1,1,Emergency Fund,Moderate,Short-term,gcash_gsave
25,25934.95,22413.92,42052.43,Employed,2,Urban,5,1,1,Emergency Fund,Aggressive,Short-term,gcash_gsave
28,3998.16,3365.1,0.0,Self-employed,3,Rural,1,0,1,General Savings,Moderate,Short-term,gcash_gsave
36,57589.93,51814.34,32916.61,Employed,3,Urban,5,1,0,Home/Property,Conservative,Short-term,bpi_save_up
33,20452.45,18328.99,14279.33,Employed,2,Urban,4,1,0,Home/Property,Moderate,Medium-term,bpi_save_up
30,22293.09,17280.27,45658.03,Employed,1,Rural,3,1,0,Home/Property,Conservative,Medium-term,bpi_save_up
33,36217.59,27950.63,62604.95,Employed,1,Metro Manila,4,0,1,Travel,Aggressive,Short-term,gcash_ginvest
32,59345.93,51935.59,98082.5,Employed,1,Urban,2,1,0,Business Capital,Moderate,Medium-term,bpi_save_up
27,25829.12,22761.05,0.0,Employed,3,Urban,3,1,1,General Savings,Conservative,Medium-term,maya_savings
49,33523.46,26453.81,22292.51,Self-employed,2,Urban,2,0,1,Education,Conservative,Medium-term,bpi_save_up
25,56724.81,38944.1,171226.1,Freelancer,3,Urban,5,1,1,Retirement,Aggressive,Medium-term,gcash_ginvest
36,25724.38,19988.56,64029.1,Employed,5,Urban,4,0,1,Education,Moderate,Long-term,maya_time_deposit
26,41320.03,29494.71,22469.32,Employed,0,Urban,3,0,1,General Savings,Moderate,Short-term,bpi_save_up
28,19528.46,15206.77,23536.26,Freelancer,0,Urban,1,1,0,Education,Moderate,Short-term,bpi_save_up
48,23321.77,17333.12,6644.47,Employed,1,Urban,3,1,0,Home/Property,Aggressive,Medium-term,bpi_save_up
29,3303.07,2668.66,13684.85,Unemployed,1,Urban,5,1,1,Emergency Fund,Aggressive,Short-term,maya_savings
48,59364.7,36925.98,174282.68,Freelancer,1,Metro Manila,4,1,0,Education,Aggressive,Medium-term,gcash_ginvest
48,51651.59,49315.82,8918.96,Employed,4,Rural,2,0,0,Emergency Fund,Moderate,Short-term,bpi_save_up
32,57485.51,48712.54,55304.32,Employed,0,Urban,5,0,0,Business Capital,Moderate,Long-term,maya_time_deposit
45,18793.25,15989.88,11671.5,Self-employed,2,Rural,3,0,1,Education,Aggressive,Medium-term,maya_personal_goals
23,8011.63,6333.91,959.78,Employed,0,Rural,3,0,1,General Savings,Moderate,Short-term,gcash_gsave
30,15987.77,14417.36,20905.79,Employed,3,Rural,3,0,0,General Savings,Moderate,Long-term,maya_personal_goals
27,15232.34,13914.53,7061.02,Employed,2,Urban,3,0,1,Emergency Fund,Moderate,Short-term,maya_savings
58,3327.88,2716.08,7697.36,Unemployed,4,Urban,2,0,0,Retirement,Moderate,Long-term,bpi_time_deposit
24,16227.03,12662.66,22695.33,Employed,2,Urban,5,1,1,General Savings,Moderate,Short-term,gcash_gsave
35,35068.49,33056.4,20510.01,Employed,2,Rural,3,1,0,Home/Property,Aggressive,Long-term,gcash_ginvest
20,1277.76,1049.72,440.51,Student,0,Urban,5,0,1,Education,Conservative,Long-term,gcash_gsave
