age,monthly_income,monthly_expenses,existing_savings,employment_status,num_dependents,location_type,digital_savviness,has_bank_account,has_ewallet,savings_goal,risk_tolerance,investment_horizon,recommended_product,disposable_income,expense_ratio,savings_to_income_ratio,income_per_dependent
41,131157.48,128534.33,0.0,Employed,4,Metro Manila,3,1,0,Travel,Conservative,Short-term,bpi_savings,2623.1500000000087,0.9799925250734836,0.0,26231.496000000003
27,45270.91,39547.95,89884.88,Employed,2,Urban,4,0,0,Travel,Moderate,Short-term,maya_personal_goals,5722.960000000006,0.8735648661609372,1.9854448376487759,15090.303333333335
45,23798.0,22258.57,16782.65,Self-employed,4,Urban,3,0,0,Emergency Fund,Conservative,Medium-term,gcash_gsave,1539.4300000000003,0.935273330812219,0.7051829908819699,4759.6
30,19358.94,14902.58,27636.84,Employed,0,Urban,5,0,0,Retirement,Conservative,Long-term,bpi_time_deposit,4456.359999999999,0.769763749267818,1.4275271514271224,19358.94
24,27823.55,21498.68,317.99,Employed,0,Rural,4,0,0,General Savings,Moderate,Short-term,gcash_gsave,6324.869999999999,0.772651489422111,0.01142839686535811,27823.55
25,5872.32,3874.12,150.62,Self-employed,0,Rural,3,1,0,Home/Property,Moderate,Long-term,gcash_gsave,1998.1999999999998,0.6596133021868381,0.025644780124358967,5872.32
49,23548.22,21303.27,2591.42,Freelancer,2,Rural,1,0,0,Travel,Moderate,Short-term,gcash_gsave,2244.9500000000007,0.9046274144111779,0.11004271054412842,7849.406666666667
27,25754.92,22782.02,7308.84,Employed,3,Urban,5,1,1,Home/Property,Moderate,Short-term,maya_personal_goals,2972.899999999998,0.8845352835386971,0.28377320631528596,6438.73
51,22110.51,18901.58,7359.8,Employed,1,Rural,4,0,0,General Savings,Aggressive,Short-term,gcash_gsave,3208.9299999999967,0.8548299053298487,0.33284927171414347,11055.255
38,5692.21,5529.31,0.0,Unemployed,4,Urban,4,0,1,General Savings,Moderate,Short-term,maya_savings,162.89999999999964,0.971211320151549,0.0,1138.442
30,20614.07,15509.02,18590.88,Employed,1,Rural,3,1,0,Travel,Moderate,Medium-term,bpi_save_up,5105.049999999999,0.7523146901756822,0.9018101806105923,10307.035
31,19736.91,15678.19,31468.43,Freelancer,1,Rural,5,0,1,Education,Conservative,Long-term,maya_personal_goals,4058.7199999999993,0.7943186487323126,1.5943141903068765,9868.455
35,38322.53,32254.17,50593.71,Employed,4,Urban,3,0,1,Retirement,Conservative,Long-term,bpi_time_deposit,6068.360000000001,0.8416283677416981,1.3201735330748499,7664.505999999999
41,36745.49,30319.91,962.56,Freelancer,2,Urban,3,0,0,Retirement,Moderate,Long-term,gcash_ginvest,6425.579999999998,0.8251103710857827,0.026194610696150842,12248.496666666666
52,4978.29,4201.47,11936.79,Unemployed,3,Urban,3,0,0,Emergency Fund,Moderate,Medium-term,bpi_save_up,776.8199999999997,0.8437889739300182,2.397287565094622,1244.5725
23,13588.73,9310.0,34321.99,Self-employed,0,Metro Manila,2,1,0,Travel,Conservative,Short-term,bpi_savings,4278.73,0.68507615677427,2.525582921809337,13588.73
28,2257.21,1773.69,0.0,Unemployed,3,Rural,4,0,1,Travel,Conservative,Short-term,gcash_gsave,483.52,0.7854406808932739,0.0,564.3025
39,2422.45,1905.11,0.0,Unemployed,3,Urban,3,0,0,General Savings,Conservative,Medium-term,maya_savings,517.3399999999999,0.7861148362871113,0.0,605.6125
26,14014.45,12099.63,0.0,Self-employed,2,Urban,4,1,1,Emergency Fund,Conservative,Medium-term,gcash_gsave,1914.8200000000015,0.8633065652547723,0.0,4671.483333333334
48,32543.68,21520.18,84330.2,Employed,0,Urban,3,0,1,Emergency Fund,Moderate,Medium-term,maya_time_deposit,11023.5,0.6612503180243284,2.5912130646237723,32543.68
25,17663.18,15560.71,3414.07,Employed,1,Rural,4,1,1,General Savings,Conservative,Long-term,gcash_gsave,2102.470000000001,0.8809188991507105,0.19327644985501732,8831.59
30,28598.08,22073.87,5703.19,Freelancer,3,Metro Manila,2,1,0,Emergency Fund,Aggressive,Short-term,bpi_savings,6524.210000000003,0.7718384647338306,0.1994186526279866,7149.52
39,40739.16,31664.09,29422.05,Self-employed,4,Rural,3,1,0,Business Capital,Moderate,Medium-term,maya_time_deposit,9075.070000000003,0.777220560743993,0.7221878853691296,8147.832
36,18997.85,13847.11,33446.01,Employed,0,Rural,3,1,0,Travel,Conservative,Long-term,bpi_save_up,5150.739999999998,0.7288393771201942,1.7604228676998874,18997.85
62,24827.24,20747.86,7070.19,Employed,1,Rural,1,0,0,Emergency Fund,Conservative,Medium-term,gcash_gsave,4079.380000000001,0.8356556888446381,0.2847640428802041,12413.62
30,26284.31,17385.84,40142.06,Self-employed,1,Urban,4,0,0,Emergency Fund,Aggressive,Short-term,maya_savings,8898.470000000001,0.6614279991371607,1.5271670754501276,13142.155
20,10688.74,9146.45,0.0,Freelancer,0,Urban,3,1,0,Travel,Aggressive,Short-term,maya_savings,1542.289999999999,0.8556288553323094,0.0,10688.74
40,37092.72,29317.2,21348.39,Employed,3,Urban,2,1,0,Emergency Fund,Aggressive,Medium-term,maya_time_deposit,7775.52,0.790354809385524,0.5755257224133896,9273.18
39,52197.76,35968.7,35608.31,Freelancer,1,Urban,4,1,0,Business Capital,Moderate,Short-term,maya_time_deposit,16229.060000000005,0.6890719243139108,0.6821677373178979,26098.88
34,27574.93,23315.28,11121.66,Self-employed,1,Urban,1,0,1,General Savings,Conservative,Long-term,bpi_time_deposit,4259.6500000000015,0.8454938781756408,0.403310423256804,13787.465
37,27299.0,19878.89,32032.74,Employed,3,Rural,5,1,1,Travel,Moderate,Short-term,maya_personal_goals,7420.110000000001,0.7281644688644688,1.1733604395604396,6824.75
33,19327.36,15646.44,0.0,Employed,1,Urban,4,1,0,Business Capital,Aggressive,Short-term,gcash_gsave,3680.92,0.8095068593507158,0.0,9663.68
46,70252.47,54479.2,9094.9,Employed,3,Rural,2,1,0,Education,Conservative,Medium-term,bpi_save_up,15773.270000000004,0.775466322161738,0.12945837408458258,17563.1175
43,32902.02,32243.98,0.0,Employed,5,Metro Manila,3,0,1,Business Capital,Moderate,Medium-term,bpi_save_up,658.0399999999972,0.9799702276569142,0.0,5483.669999999999
37,6674.38,5525.56,0.0,Self-employed,1,Rural,5,1,1,General Savings,Moderate,Medium-term,gcash_gsave,1148.8199999999997,0.8277521279687449,0.0,3337.19
32,30129.03,22632.67,19673.89,Self-employed,2,Rural,4,1,1,Home/Property,Conservative,Medium-term,maya_personal_goals,7496.360000000001,0.7511665272155388,0.6529661603390372,10043.01
56,21244.69,16101.65,21.72,Employed,0,Rural,3,1,0,Retirement,Conservative,Long-term,bpi_time_deposit,5143.039999999999,0.7578784214586582,0.00102232499862325,21244.69
37,20947.87,19100.56,0.0,Employed,2,Rural,4,0,1,Home/Property,Moderate,Medium-term,maya_personal_goals,1847.3099999999977,0.9117704200751641,0.0,6982.623333333333
29,14273.67,9452.14,0.0,Employed,0,Rural,4,0,1,Business Capital,Conservative,Long-term,gcash_gsave,4821.530000000001,0.6621617172235855,0.0,14273.67
29,10057.33,7547.99,28239.93,Unemployed,0,Rural,2,0,0,Emergency Fund,Moderate,Medium-term,maya_personal_goals,2509.34,0.750421789700676,2.807616174852088,10057.33
33,32834.54,29727.53,30544.91,Employed,1,Urban,3,0,0,Education,Moderate,Long-term,maya_personal_goals,3107.010000000002,0.9053461584612282,0.930239307774442,16417.27
40,9412.02,7191.61,9066.11,Student,2,Urban,4,1,1,Travel,Moderate,Short-term,gcash_gsave,2220.4100000000008,0.7640066631113075,0.9631457279385363,3137.34
41,40130.56,33197.17,25803.52,Freelancer,4,Metro Manila,5,1,1,Home/Property,Conservative,Medium-term,maya_personal_goals,6933.389999999999,0.8272085610427304,0.6429732609447527,8026.111999999999
26,40059.78,30093.34,186831.54,Employed,2,Metro Manila,4,0,1,Emergency Fund,Aggressive,Short-term,gcash_ginvest,9966.439999999999,0.7511920636592697,4.663702004803701,13353.26
33,50918.04,49776.16,3833.5,Freelancer,4,Urban,4,1,0,General Savings,Conservative,Short-term,bpi_savings,1141.8799999999974,0.9775549578310982,0.07528617978657885,10183.608
28,30874.2,22960.61,88576.01,Employed,2,Metro Manila,5,1,1,Business Capital,Aggressive,Medium-term,gcash_ginvest,7913.59,0.7436586645592579,2.868840039902575,10291.4
28,8727.65,5988.24,33487.6,Self-employed,1,Urban,3,0,1,Emergency Fund,Moderate,Medium-term,maya_time_deposit,2739.41,0.686044233644378,3.8365153832494143,4363.825
24,29711.63,22576.74,126450.11,Employed,0,Urban,4,1,1,Business Capital,Aggressive,Short-term,gcash_ginvest,7134.889999999999,0.7598364735804269,4.255769684474245,29711.63
61,7498.98,6002.92,12219.45,Unemployed,1,Metro Manila,2,0,1,Retirement,Conservative,Long-term,bpi_time_deposit,1496.0599999999995,0.8003914677105807,1.6292643447049193,3749.49
49,27706.19,21573.47,0.0,Employed,2,Rural,1,0,0,Education,Conservative,Long-term,maya_savings,6132.7199999999975,0.7786235269617743,0.0,9235.396666666666
27,37138.58,28077.39,4013.28,Freelancer,2,Metro Manila,4,1,1,Emergency Fund,Conservative,Short-term,maya_savings,9061.190000000002,0.7559964329160426,0.10805938031609405,12379.526666666667
34,15577.41,13611.5,10965.51,Employed,2,Rural,2,1,0,Travel,Conservative,Short-term,bpi_savings,1965.9099999999999,0.8737412868193866,0.7038914754458253,5192.47
21,3890.04,2672.95,13384.18,Student,0,Urban,3,0,1,Business Capital,Moderate,Medium-term,maya_personal_goals,1217.0900000000001,0.6869500185040502,3.439743616102636,3890.04
22,2457.71,1656.12,0.0,Student,0,Rural,4,0,0,Emergency Fund,Conservative,Short-term,maya_savings,801.5900000000001,0.6735727271618043,0.0,2457.71
25,10906.06,7271.82,10963.79,Self-employed,0,Rural,5,1,0,Travel,Moderate,Short-term,bpi_save_up,3634.24,0.6667076187350212,1.0052012182934724,10906.06
40,49310.92,38915.23,74029.79,Self-employed,1,Rural,4,1,1,Education,Conservative,Short-term,gcash_gsave,10395.689999999995,0.7891647698974205,1.5012554773774778,24655.46
32,6139.72,4719.67,8415.06,Self-employed,0,Rural,5,1,1,Emergency Fund,Conservative,Medium-term,gcash_gsave,1420.0500000000002,0.7685857684440912,1.370370249742701,6139.72
23,79767.34,54613.99,140250.63,Employed,1,Metro Manila,5,1,1,Business Capital,Conservative,Medium-term,gcash_ginvest,25153.35,0.6846574718741797,1.7582242528802783,39883.67
26,4539.51,3238.97,4507.79,Unemployed,0,Rural,2,0,0,General Savings,Aggressive,Short-term,gcash_gsave,1300.5400000000004,0.713349381457149,0.9927937610532737,4539.51
18,5395.32,4727.22,1666.42,Employed,1,Rural,3,0,0,General Savings,Moderate,Long-term,gcash_gsave,668.0999999999995,0.8760080944050761,0.3088067423725799,2697.66
55,2256.73,1872.96,3564.78,Unemployed,1,Rural,1,0,0,Home/Property,Conservative,Long-term,maya_savings,383.77,0.8295766101349585,1.5789221917589793,1128.365
21,2412.85,2114.87,0.0,Student,0,Rural,3,0,1,Emergency Fund,Moderate,Short-term,gcash_gsave,297.98,0.8761397767052633,0.0,2412.85
23,19482.17,12477.18,8677.11,Freelancer,1,Urban,3,0,1,Emergency Fund,Conservative,Short-term,gcash_gsave,7004.989999999998,0.6404081060730877,0.44536438372195086,9741.085
31,8254.81,7316.72,2628.31,Self-employed,2,Rural,4,0,1,Retirement,Moderate,Long-term,gcash_ginvest,938.0899999999992,0.8862510159511908,0.3183588285098616,2751.603333333333
26,27943.89,22011.14,63410.39,Employed,1,Urban,5,0,0,Business Capital,Conservative,Long-term,bpi_time_deposit,5932.75,0.7876624313067613,2.269122905833589,13971.945
47,4193.35,3867.58,1108.91,Unemployed,4,Urban,2,1,0,Home/Property,Conservative,Medium-term,bpi_savings,325.77000000000044,0.9220928153349147,0.26438184700847567,838.6700000000001
33,24204.51,16410.1,32792.09,Employed,0,Metro Manila,4,1,0,Retirement,Aggressive,Long-term,gcash_ginvest,7794.41,0.6779489463349461,1.354736586834981,24204.51
52,12504.72,7473.6,10305.67,Self-employed,0,Rural,1,0,1,Retirement,Conservative,Long-term,bpi_time_deposit,5031.119999999999,0.5976145315903443,0.8240765025924137,12504.72
26,43536.01,37419.98,69702.98,Employed,2,Urban,4,0,1,Business Capital,Moderate,Medium-term,gcash_ginvest,6116.029999999999,0.8594981603008567,1.601005213725058,14512.003333333334
44,15306.22,11793.12,15767.26,Employed,3,Urban,2,1,0,Education,Moderate,Medium-term,bpi_save_up,3513.0999999999985,0.7704285951335383,1.0300537916094497,3826.555
25,33813.76,24199.53,51441.95,Self-employed,1,Urban,5,0,1,Education,Aggressive,Medium-term,gcash_ginvest,9614.230000000003,0.715649911458783,1.521286858164896,16906.88
33,24204.93,19372.83,4578.99,Freelancer,0,Rural,5,0,0,Retirement,Aggressive,Long-term,gcash_ginvest,4832.0999999999985,0.8003340503752594,0.18916810880639578,24204.93
36,18407.05,15660.81,35522.67,Self-employed,4,Rural,2,0,0,Business Capital,Conservative,Medium-term,maya_time_deposit,2746.24,0.8507587712984265,1.929735631965363,3681.41
28,28229.64,23634.55,80163.65,Employed,1,Urban,5,1,0,General Savings,Aggressive,Long-term,bpi_time_deposit,4595.09,0.8371949768053434,2.8395973311267473,14114.82
29,62620.68,41901.77,163161.25,Employed,0,Metro Manila,4,1,1,Travel,Moderate,Short-term,maya_time_deposit,20718.910000000003,0.6691256127270938,2.6055073897729986,62620.68
53,18453.24,15351.37,15233.87,Employed,2,Rural,2,0,0,Retirement,Aggressive,Medium-term,gcash_ginvest,3101.870000000001,0.8318614042084637,0.8254943037480817,6151.080000000001
25,10828.74,8401.69,303.41,Self-employed,3,Rural,4,0,0,Emergency Fund,Conservative,Long-term,gcash_gsave,2427.0499999999993,0.7757979415941657,0.028016369737408287,2707.185
30,1513.68,1104.78,2235.39,Unemployed,0,Rural,4,0,0,Education,Conservative,Short-term,gcash_gsave,408.9000000000001,0.7293817836110598,1.475816674148995,1513.68
46,11735.93,10411.28,17356.3,Unemployed,4,Urban,3,0,1,Business Capital,Conservative,Long-term,bpi_time_deposit,1324.6499999999996,0.8870530879880855,1.478776818128761,2347.186
44,46511.75,35973.19,63549.21,Employed,3,Rural,1,1,1,Business Capital,Conservative,Long-term,bpi_time_deposit,10538.559999999998,0.7734049266061457,1.3662750536143315,11627.9375
23,1915.79,1542.04,1049.18,Student,0,Urban,4,1,0,Education,Aggressive,Long-term,gcash_ginvest,373.75,0.8044908414588974,0.5473630392479093,1915.79
45,63674.15,44568.45,215827.02,Employed,3,Urban,3,1,1,Education,Conservative,Long-term,bpi_time_deposit,19105.700000000004,0.6999347469146127,3.3895015559445087,15918.5375
39,46747.08,39148.72,19333.36,Freelancer,5,Urban,4,1,0,Business Capital,Conservative,Long-term,bpi_time_deposit,7598.360000000001,0.8374401686657506,0.4135647923936127,7791.18
23,41859.07,25646.3,196106.72,Employed,0,Urban,5,0,1,Retirement,Moderate,Long-term,gcash_ginvest,16212.77,0.612667394010569,4.684815863900849,41859.07
32,21605.24,17529.21,12194.42,Self-employed,0,Rural,1,0,0,Emergency Fund,Conservative,Short-term,gcash_gsave,4076.0300000000025,0.8113031235420878,0.5643934344892957,21605.24
25,26898.11,23053.52,0.0,Employed,3,Urban,5,1,1,Education,Conservative,Short-term,maya_savings,3844.59,0.8570365339224978,0.0,6724.5275
42,63380.65,49389.67,110118.71,Employed,3,Urban,5,1,0,Home/Property,Moderate,Medium-term,bpi_save_up,13990.980000000003,0.7792424147998671,1.7373910272137125,15845.1625
25,39002.97,33894.21,58130.07,Employed,1,Urban,2,0,1,Business Capital,Aggressive,Long-term,gcash_ginvest,5108.760000000002,0.8689938485749015,1.4903629040838662,19501.485
21,103779.52,86269.32,79254.04,Self-employed,0,Metro Manila,4,1,1,Retirement,Moderate,Long-term,bpi_time_deposit,17510.199999999997,0.8312669853648835,0.763669713738185,103779.52
39,39366.37,34118.61,14330.51,Employed,3,Rural,4,1,1,Education,Moderate,Medium-term,maya_personal_goals,5247.760000000002,0.8666723227891525,0.3640199993039921,9841.5925
28,29694.45,25531.83,40297.6,Employed,2,Urban,4,1,1,Education,Moderate,Medium-term,maya_personal_goals,4162.619999999999,0.8597892943195001,1.357029443904706,9898.15
24,10702.3,9017.16,18296.8,Employed,2,Urban,4,1,0,Emergency Fund,Conservative,Short-term,maya_savings,1685.1399999999994,0.8424654078648641,1.7094540935973017,3567.433333333333
56,12702.79,10677.44,41958.93,Freelancer,1,Rural,2,0,1,General Savings,Moderate,Short-term,maya_savings,2025.3500000000004,0.8404924829519379,3.3028670971418763,6351.395
38,11888.61,9965.75,9063.65,Employed,2,Rural,4,0,0,Emergency Fund,Aggressive,Medium-term,gcash_gsave,1922.8600000000006,0.8381898144682626,0.7623168463894106,3962.8700000000003
40,18452.16,16500.2,15841.68,Self-employed,3,Rural,2,1,0,Emergency Fund,Moderate,Medium-term,bpi_save_up,1951.9599999999991,0.8941666359582858,0.8584806071155293,4613.04
26,43694.39,39377.98,48113.18,Employed,1,Urban,4,1,1,Home/Property,Moderate,Medium-term,maya_personal_goals,4316.409999999996,0.9011930091481047,1.1011042583668438,21847.195
30,2243.4,1975.21,6061.26,Unemployed,2,Rural,4,0,0,Emergency Fund,Moderate,Short-term,gcash_gsave,268.19000000000005,0.8800614863660666,2.7006148636606664,747.8000000000001
24,3566.68,2692.42,619.15,Unemployed,0,Rural,5,0,1,Emergency Fund,Aggressive,Short-term,gcash_gsave,874.2599999999998,0.754669701318504,0.1735441519418782,3566.68
36,28856.78,24307.34,17680.36,Employed,1,Rural,4,1,1,Travel,Moderate,Short-term,gcash_gsave,4549.439999999999,0.842314966709151,0.6126722152570295,14428.39
25,12443.47,10353.25,1789.95,Self-employed,1,Rural,2,0,1,General Savings,Moderate,Short-term,gcash_gsave,2090.2199999999993,0.8319558808048877,0.14383497248175295,6221.735
19,20112.14,16333.66,6990.68,Employed,0,Urban,4,1,1,Education,Conservative,Medium-term,maya_personal_goals,3778.4799999999996,0.8120890124565334,0.3475678089050243,20112.14
23,2297.76,2091.44,6170.14,Unemployed,1,Rural,4,0,1,Business Capital,Conservative,Short-term,gcash_gsave,206.32000000000016,0.909812246602516,2.6841166541961754,1148.88
33,26677.19,19473.52,34523.09,Self-employed,1,Urban,4,0,0,Travel,Moderate,Short-term,maya_personal_goals,7203.669999999998,0.7299415739973365,1.294056680756828,13338.595
28,29651.96,20176.85,25320.6,Employed,0,Urban,4,0,1,Business Capital,Moderate,Medium-term,maya_personal_goals,9475.11,0.6804329146230258,0.8538978908007835,29651.96
22,2620.98,2244.76,3477.25,Student,0,Urban,4,0,1,Education,Conservative,Medium-term,gcash_gsave,376.2199999999998,0.856131625717969,1.326192419469256,2620.98
24,19730.88,13353.5,5787.4,Employed,1,Metro Manila,5,0,1,Travel,Moderate,Short-term,gcash_gsave,6377.380000000001,0.6767474766722684,0.2933020067018449,9865.44
40,104234.92,90105.23,34529.89,Self-employed,2,Rural,1,0,0,Business Capital,Moderate,Medium-term,maya_time_deposit,14129.690000000002,0.8644355036152604,0.33126670729245733,34744.973333333335
23,27292.5,22384.27,108760.08,Self-employed,0,Rural,5,1,1,Home/Property,Moderate,Medium-term,maya_personal_goals,4908.23,0.8201318995365197,3.984834484401048,27292.5
22,1842.55,1157.6,15604.23,Student,0,Urban,5,1,1,Emergency Fund,Conservative,Medium-term,gcash_gsave,684.95,0.6279189607008218,8.46422934013181,1842.55
18,803.8,569.26,10473.84,Student,0,Rural,5,0,1,Travel,Moderate,Long-term,gcash_gsave,234.53999999999996,0.707331013916501,13.014214711729624,803.8
29,28567.86,25083.27,45190.83,Employed,2,Urban,5,0,1,Emergency Fund,Conservative,Short-term,maya_savings,3484.59,0.8779933816050063,1.5818212557308902,9522.62
21,33502.27,28206.97,40915.42,Freelancer,0,Metro Manila,4,0,1,Education,Aggressive,Long-term,gcash_ginvest,5295.299999999996,0.8419169233331554,1.2212366136201034,33502.27
34,14457.64,12552.29,13267.04,Employed,2,Rural,3,1,0,General Savings,Aggressive,Medium-term,bpi_save_up,1905.3499999999985,0.8681514997261154,0.9175856097115636,4819.213333333333
34,6250.02,4641.58,11448.3,Student,1,Rural,3,0,1,Travel,Conservative,Medium-term,gcash_gsave,1608.4400000000005,0.7425316188398052,1.8314291107691223,3125.01
52,39665.65,34773.07,6203.0,Employed,0,Urban,2,0,1,Retirement,Conservative,Long-term,bpi_time_deposit,4892.580000000002,0.8766323851396576,0.15637821696563736,39665.65
25,14720.15,12944.14,7174.34,Self-employed,2,Rural,3,1,1,Emergency Fund,Moderate,Short-term,gcash_gsave,1776.0100000000002,0.879288642531324,0.4873491541082049,4906.716666666666
20,5618.87,4084.01,15705.26,Student,0,Urban,5,0,1,Education,Moderate,Short-term,maya_personal_goals,1534.8599999999997,0.7267089808127235,2.7945948927644233,5618.87
23,14754.87,12298.05,3280.75,Employed,1,Urban,2,1,1,Emergency Fund,Moderate,Short-term,gcash_gsave,2456.8200000000015,0.833434423046557,0.22233524692207235,7377.435
30,19799.53,15537.32,70810.1,Self-employed,2,Urban,3,1,0,Emergency Fund,Moderate,Medium-term,bpi_save_up,4262.209999999999,0.7846921269279156,3.5761719509528285,6599.843333333333
29,38446.58,36380.19,0.0,Employed,2,Urban,4,1,1,Emergency Fund,Conservative,Long-term,maya_savings,2066.3899999999994,0.9462283451910367,0.0,12815.526666666667
22,2584.11,2065.71,6552.74,Student,0,Rural,5,0,1,Travel,Moderate,Short-term,gcash_gsave,518.4000000000001,0.7990801165134171,2.5348012270270894,2584.11
19,6817.34,4679.68,10118.97,Student,0,Rural,4,0,1,Education,Moderate,Medium-term,maya_personal_goals,2137.66,0.6863371436449341,1.4840811693168716,6817.34
25,38904.06,28287.04,76132.9,Employed,2,Urban,2,0,0,Emergency Fund,Aggressive,Short-term,gcash_ginvest,10617.019999999997,0.7270786884790822,1.9568894123283707,12968.019999999999
38,33380.27,27313.86,2991.16,Employed,2,Rural,3,0,0,Business Capital,Aggressive,Long-term,gcash_ginvest,6066.409999999996,0.8182390903641474,0.0896059377009922,11126.756666666666
29,15938.01,12587.12,0.0,Self-employed,2,Rural,2,1,0,General Savings,Aggressive,Long-term,gcash_ginvest,3350.8899999999994,0.7897052577293069,0.0,5312.67
27,44642.26,37754.64,147583.83,Self-employed,3,Urban,5,0,1,Travel,Moderate,Medium-term,maya_personal_goals,6887.620000000003,0.8456963044365488,3.305847960028008,11160.565
43,30424.44,26169.74,62666.61,Employed,1,Urban,5,1,1,Education,Moderate,Long-term,gcash_ginvest,4254.699999999997,0.8601269201037027,2.059678019446884,15212.22
22,3023.06,2609.33,1067.69,Student,2,Rural,1,0,0,Education,Aggressive,Medium-term,bpi_save_up,413.73,0.862856557078894,0.35306508468747316,1007.6866666666666
21,8300.97,6868.48,2990.84,Employed,0,Rural,4,0,1,General Savings,Moderate,Short-term,gcash_gsave,1432.4899999999998,0.8273313442472088,0.36025666197300166,8300.97
25,31529.21,23431.09,31932.5,Employed,1,Rural,5,1,1,Emergency Fund,Moderate,Long-term,gcash_ginvest,8098.119999999999,0.74313142855693,1.0127588747426675,15764.605
30,29659.31,26248.67,46878.12,Self-employed,1,Urban,3,1,0,Home/Property,Conservative,Medium-term,bpi_save_up,3410.640000000003,0.884976252776859,1.580500001517179,14829.655
43,14286.36,12395.78,4613.77,Unemployed,3,Rural,3,0,1,Home/Property,Moderate,Medium-term,maya_personal_goals,1890.58,0.8676046519440961,0.32292669884429315,3571.59
